,Unnamed: 0,facility_name,hospital_type,facility_id,address,city,state,violations,inspection_dates,distinct_investigations,Rural Status,to_geocode,lat_lng,lat,lng
0,1,EUREKA SPRINGS HOSPITAL COMMISSION,Critical Access Hospitals,41304,24 NORRIS STREET,EUREKA SPRINGS,AR,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2013-11-14, 2013-11-14",1,,"24 NORRIS STREET, EUREKA SPRINGS, AR","[36.4003588, -93.74440159999999]",36.4003588,-93.74440159999999
1,2,MERCY HOSPITAL BERRYVILLE,Critical Access Hospitals,41329,214 CARTER STREET,BERRYVILLE,AR,MEDICAL SCREENING EXAM,2016-08-02,1,,"214 CARTER STREET, BERRYVILLE, AR","[36.3589699, -93.5516979]",36.3589699,-93.5516979
2,3,GLENN MEDICAL CENTER,Critical Access Hospitals,51306,1133 W SYCAMORE ST,WILLOWS,CA,"MEDICAL SCREENING EXAM, STABILIZING TREATMENT","2013-10-10, 2013-10-10",1,,"1133 W SYCAMORE ST, WILLOWS, CA","[39.5213602, -122.2084362]",39.5213602,-122.2084362
3,4,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,Critical Access Hospitals,51318,3300 RENNER DRIVE,FORTUNA,CA,MEDICAL SCREENING EXAM,2018-04-19,1,,"3300 RENNER DRIVE, FORTUNA, CA","[40.5823366, -124.1363749]",40.5823366,-124.1363749
4,5,SOUTHEAST COLORADO HOSPITAL,Critical Access Hospitals,61311,373 E 10TH AVE,SPRINGFIELD,CO,APPROPRIATE TRANSFER,2018-05-22,1,,"373 E 10TH AVE, SPRINGFIELD, CO","[37.4044522, -102.6127409]",37.4044522,-102.6127409
5,6,SOUTHWEST MEMORIAL HOSPITAL,Critical Access Hospitals,61327,1311 N MILDRED RD,CORTEZ,CO,"DELAY IN EXAMINATION OR TREATMENT, POSTING OF SIGNS","2021-05-05, 2018-10-25",2,,"1311 N MILDRED RD, CORTEZ, CO","[37.3621911, -108.5744372]",37.3621911,-108.5744372
6,7,MONROE COUNTY HOSPITAL,Critical Access Hospitals,111318,88 MARTIN LUTHER KING JR DRIVE,FORSYTH,GA,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2014-09-12, 2014-09-12, 2014-09-12, 2014-09-12, 2014-09-12",1,Yes,"88 MARTIN LUTHER KING JR DRIVE, FORSYTH, GA","[33.0314778, -83.9453995]",33.0314778,-83.9453995
7,8,OPTIM MEDICAL CENTER - TATTNALL,Critical Access Hospitals,111323,247 S MAIN STREET,REIDSVILLE,GA,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2015-10-01, 2015-10-01, 2015-10-01",1,Yes,"247 S MAIN STREET, REIDSVILLE, GA","[32.0804405, -82.10904529999999]",32.0804405,-82.10904529999999
8,9,SHOSHONE MEDICAL CENTER,Critical Access Hospitals,131314,25 JACOBS GULCH ROAD,KELLOGG,ID,MEDICAL SCREENING EXAM,2018-05-31,1,Yes,"25 JACOBS GULCH ROAD, KELLOGG, ID","[47.5389209, -116.121528]",47.5389209,-116.121528
9,10,WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,141308,705 S GRAND AVE,NASHVILLE,IL,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2018-01-16, 2018-01-16",1,Yes,"705 S GRAND AVE, NASHVILLE, IL","[38.3389563, -89.3913511]",38.3389563,-89.3913511
10,11,FAIRFIELD MEMORIAL HOSPITAL 1,Critical Access Hospitals,141311,303 N W 11TH STREET,FAIRFIELD,IL,MEDICAL SCREENING EXAM,2016-07-21,1,Yes,"303 N W 11TH STREET, FAIRFIELD, IL","[38.3812333, -88.37522919999999]",38.3812333,-88.37522919999999
11,12,GIBSON COMMUNITY HOSPITAL,Critical Access Hospitals,141317,1120 N MELVIN STREET,GIBSON CITY,IL,MEDICAL SCREENING EXAM,2013-04-18,1,Yes,"1120 N MELVIN STREET, GIBSON CITY, IL","[40.47852760000001, -88.3702179]",40.47852760000001,-88.3702179
12,13,HAMMOND HENRY HOSPITAL,Critical Access Hospitals,141319,600 N COLLEGE AVENUE,GENESEO,IL,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2017-11-08, 2017-11-08",1,Yes,"600 N COLLEGE AVENUE, GENESEO, IL","[41.4600653, -90.1578376]",41.4600653,-90.1578376
13,14,MASSAC MEMORIAL HOSPITAL,Critical Access Hospitals,141323,"28 CHICK STREET, PO BOX 850",METROPOLIS,IL,APPROPRIATE TRANSFER,2015-07-23,1,Yes,"28 CHICK STREET, PO BOX 850, METROPOLIS, IL","[37.1661604, -88.73955169999999]",37.1661604,-88.73955169999999
