facility_id,facility_name.x,city,state,count,descriptions,facility_name.y,Site Category,Site Subcategory,County,State,Address,City,ZIP,Rural Status,Longitude,Latitude
10001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,1,"COMPLIANCE WITH 489.24 ,",SOUTHEAST HEALTH MEDICAL CENTER,Hospital,Short Term,Houston County,AL,1108 Ross Clark Cir,Dothan,36301-3022,No,-85.361357,31.21586507
10001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,1,"RECIPIENT HOSPITAL RESPONSIBILITIES ,",SOUTHEAST HEALTH MEDICAL CENTER,Hospital,Short Term,Houston County,AL,1108 Ross Clark Cir,Dothan,36301-3022,No,-85.361357,31.21586507
10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,1,"COMPLIANCE WITH 489.24 ,",BAPTIST MEDICAL CENTER SOUTH,Hospital,Short Term,Montgomery County,AL,2105 E South Blvd,Montgomery,36116-2409,No,-86.27750522,32.32716444
10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,1,"RECIPIENT HOSPITAL RESPONSIBILITIES ,",BAPTIST MEDICAL CENTER SOUTH,Hospital,Short Term,Montgomery County,AL,2105 E South Blvd,Montgomery,36116-2409,No,-86.27750522,32.32716444
10051,GREENE COUNTY HOSPITAL,EUTAW,AL,1,"ON CALL PHYSICIANS ,",GREENE COUNTY HOSPITAL,Hospital,Short Term,Greene County,AL,509 Wilson Ave,Eutaw,35462-1064,Yes,-87.88967796,32.84296468
10051,GREENE COUNTY HOSPITAL,EUTAW,AL,1,"MEDICAL SCREENING EXAM ,",GREENE COUNTY HOSPITAL,Hospital,Short Term,Greene County,AL,509 Wilson Ave,Eutaw,35462-1064,Yes,-87.88967796,32.84296468
10051,GREENE COUNTY HOSPITAL,EUTAW,AL,1,"STABILIZING TREATMENT ,",GREENE COUNTY HOSPITAL,Hospital,Short Term,Greene County,AL,509 Wilson Ave,Eutaw,35462-1064,Yes,-87.88967796,32.84296468
10055,FLOWERS HOSPITAL,DOTHAN,AL,1,"MEDICAL SCREENING EXAM ,",FLOWERS HOSPITAL,Hospital,Short Term,Houston County,AL,4370 W Main St,Dothan,36305-1056,No,-85.45678003,31.23781798
10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,1,"COMPLIANCE WITH 489.24 ,",WIREGRASS MEDICAL CENTER,Hospital,Short Term,Geneva County,AL,1200 W Maple Ave,Geneva,36340-1642,No,-85.89273706,31.04774794
10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,1,"MEDICAL SCREENING EXAM ,",WIREGRASS MEDICAL CENTER,Hospital,Short Term,Geneva County,AL,1200 W Maple Ave,Geneva,36340-1642,No,-85.89273706,31.04774794
10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,1,"STABILIZING TREATMENT ,",WIREGRASS MEDICAL CENTER,Hospital,Short Term,Geneva County,AL,1200 W Maple Ave,Geneva,36340-1642,No,-85.89273706,31.04774794
10062,WIREGRASS MEDICAL CENTER,GENEVA,AL,1,"APPROPRIATE TRANSFER ,",WIREGRASS MEDICAL CENTER,Hospital,Short Term,Geneva County,AL,1200 W Maple Ave,Geneva,36340-1642,No,-85.89273706,31.04774794
10095,HALE COUNTY HOSPITAL,GREENSBORO,AL,1,"COMPLIANCE WITH 489.24 ,",HALE COUNTY HOSPITAL,Hospital,Short Term,Hale County,AL,508 Greene St,Greensboro,36744-2316,Yes,-87.58699101,32.69474744
10095,HALE COUNTY HOSPITAL,GREENSBORO,AL,1,"HOSPITAL MUST MAINTAIN RECORDS ,",HALE COUNTY HOSPITAL,Hospital,Short Term,Hale County,AL,508 Greene St,Greensboro,36744-2316,Yes,-87.58699101,32.69474744
10095,HALE COUNTY HOSPITAL,GREENSBORO,AL,1,"EMERGENCY ROOM LOG ,",HALE COUNTY HOSPITAL,Hospital,Short Term,Hale County,AL,508 Greene St,Greensboro,36744-2316,Yes,-87.58699101,32.69474744
10095,HALE COUNTY HOSPITAL,GREENSBORO,AL,1,"MEDICAL SCREENING EXAM ,",HALE COUNTY HOSPITAL,Hospital,Short Term,Hale County,AL,508 Greene St,Greensboro,36744-2316,Yes,-87.58699101,32.69474744
10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,1,"COMPLIANCE WITH 489.24 ,",CITIZENS BAPTIST MEDICAL CENTER,Hospital,Short Term,Talladega County,AL,604 Stone Ave,Talladega,35160-2217,Yes,-86.09060085,33.43980824
10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,1,"MEDICAL SCREENING EXAM ,",CITIZENS BAPTIST MEDICAL CENTER,Hospital,Short Term,Talladega County,AL,604 Stone Ave,Talladega,35160-2217,Yes,-86.09060085,33.43980824
10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,AL,1,"STABILIZING TREATMENT ,",CITIZENS BAPTIST MEDICAL CENTER,Hospital,Short Term,Talladega County,AL,604 Stone Ave,Talladega,35160-2217,Yes,-86.09060085,33.43980824
